% Model,spaceplate_double_3d_TA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 8 2025, 10:49"
% Table,Table 18 - Surface Average 5
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
29250,5.857975289649721E-4,3.359947288963043E-5,3.522315168878308E-5,1.3938261510245054E-4
29500,7.673783844522885E-4,5.6982802302485553E-5,5.942762786866021E-5,2.0044526156850679E-4
29750,3.4369015792186906E-4,2.003461683559536E-4,2.0709962714715675E-4,3.3702116570497997E-4
30000,1.6746740475430175,0.005442096555727421,0.005462770232441225,7.082174279909898E-4
30250,3.2250217068880915,0.0028789790878773133,0.0031468843528746236,0.0020712292966085025
30500,26.455060428252548,2.15864673981328E-5,2.2948510273795424E-5,0.009840671342629498
30750,5.449477162599587,2.7173458861517807E-6,2.865016725765218E-6,0.06592142880211507
31000,0.9862340402478071,2.0631238237314027E-6,2.164960409509989E-6,0.08435838617181875
31250,0.06537760290441039,2.5926713390918405E-6,2.710624774365112E-6,0.017358938401094315
31500,0.002592870265557972,3.949196690593638E-6,4.115726062317292E-6,0.004473647657372268
31750,0.0020999016730338404,7.340349189749496E-6,7.626547081377443E-6,0.0018028413272959559
32000,1.412654683333801E-4,1.7634533673967672E-5,1.826216362548666E-5,9.825895252841912E-4
32250,1.553225909772622E-4,6.102064648941294E-5,6.29367730834218E-5,6.572072042948459E-4
32500,5.512941407837706E-4,3.881369524509246E-4,3.9782562301255954E-4,5.100995802449432E-4
32750,0.0019372094021369499,0.010105544221701396,0.010198195316200918,4.4468913679733476E-4
33000,0.08608543918924122,1.918609140493551,2.0626966566471436,4.2714373448658803E-4
33250,0.04684585230273992,0.00691397900009221,0.007257407520492827,4.472134980772182E-4
33500,0.15301711977326546,0.0010520526810109648,0.001091755770761538,5.078273864206032E-4
33750,0.03814659619513816,4.767004211750445E-4,4.914096038943342E-4,6.252597102425276E-4
34000,0.08939324372307271,3.943329626002119E-4,4.04120106442933E-4,8.383917783240946E-4
34250,0.7792697353872764,5.256044090910326E-4,5.35080779407574E-4,0.0012366614121148635
34500,28.673086629363684,0.0011586486326588905,0.0011682777838507455,0.002044509440985778
34750,2.333575984852389,0.005347267899825093,0.005283733322698791,0.003921215920599772
35000,0.15340305357493525,0.26227257480961,0.22313711641451256,0.009354812844218099
35250,0.046644534659984374,0.09848540594993552,0.10694264970148383,0.03306729231531392
