% Model,spaceplate_double_3d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 21 2025, 16:13"
% Table,Table 3 - transmitted field
% freq (Hz),"theta0=0, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=5, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=10, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=15, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=20, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=25, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=30, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=35, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=40, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=45, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=50, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=55, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=60, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=65, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=70, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=75, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=80, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=85, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=90, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))"
19750,3.141778588699596E-6,2.736306738615686E-6,1.6320509631137664E-6,3.6671882492521415E-7,2.094174594117615E-7,5.6245453976479865E-6,2.236576862261975E-5,6.053863036907433E-5,4.2855412103451275E-4,4.425224431845491E-4,0.004083208076579491,0.003539905314202964,0.09509626438520663,0.03285462911080976,0.6825794991090935,0.28268783669777126,0.1508215892827858,0.2640280593834153,7.290929971059652E-4
20000,7.070024060411057E-6,6.537224342154867E-6,4.915161507388034E-6,2.493575054432997E-6,3.9211503505047663E-7,9.197649137657122E-7,1.2286349936838496E-5,3.6222928381889946E-5,2.81795058032025E-4,4.0872620160216247E-4,0.0023469661378987742,0.003684377168847404,0.05002358815367819,0.024351070800127293,0.8518170776131192,0.8021342515060026,0.1021426171098654,0.16066139089080794,6.92587493561024E-4
20250,1.2791404359219887E-5,1.2206873038404455E-5,1.0275587530054643E-5,6.793829703729921E-6,2.8469882377294606E-6,1.5838819249668285E-7,4.1811477276969265E-6,2.0726598175598597E-5,1.589104319870936E-4,4.0247129345704415E-4,0.0013491550991118863,0.0042617200175308,0.025450770817192225,0.0211238316164994,0.9952656966633602,0.6196864899194114,0.08436135837470081,0.11451467011705316,6.919359017216672E-4
20500,2.0701623939453977E-5,2.0134836169513364E-5,1.8189464228551123E-5,1.397924051113303E-5,7.893145215528408E-6,2.8225569010000997E-6,1.0308444645922995E-7,9.899560911342628E-6,7.911409054677699E-5,4.05369274552807E-4,8.107427627358101E-4,0.005393204925306642,0.013669282698334872,0.021165510970944115,1.077276825477135,0.19894627818225363,0.08183992386388599,0.09432729701387316,7.30009480775527E-4
20750,3.1445853593783684E-5,3.092676990054498E-5,2.9271814978865472E-5,2.5127914574148268E-5,1.6739453764166968E-5,8.686682936863282E-6,2.412593580488558E-6,2.3639837115125143E-6,3.407629175552093E-5,3.886536502157282E-4,5.16011200974077E-4,0.0072580675324111135,0.008005240155377399,0.02471307539036505,1.0180397232813754,0.09083442257533689,0.09344584740254806,0.0899280694872143,8.255405653949611E-4
21000,4.602569650730286E-5,4.551158124626329E-5,4.4310844086242174E-5,4.155549881461645E-5,3.187573790625632E-5,1.8727562783616864E-5,1.1650746390589146E-5,3.5914476460265176E-7,1.0630395780940154E-5,3.146382054462172E-4,3.4742373712214427E-4,0.009907660374163029,0.0051533513718924,0.0362436569856829,0.6577463625274556,0.05592003866583237,0.1382199179630362,0.10643846466059824,0.0010622350590662806
21250,6.59749450779562E-5,6.531701128166902E-5,6.430845764072322E-5,6.434646923425342E-5,5.786489693005355E-5,3.6831358027305245E-5,2.658109334206087E-5,1.3700256448342892E-5,7.040497151296909E-7,1.6277867820594613E-4,2.607203908931384E-4,0.011114824662667125,0.003906368146889202,0.1001629952831632,0.24893182340541664,0.051606672390994535,0.5428275572663323,0.2635118233865396,0.002159471154225188
21500,9.3646576837775E-5,9.274865768910618E-5,9.097496862641649E-5,9.215268243712144E-5,9.53877369135495E-5,7.393404792018707E-5,4.925801989959266E-5,5.195757306219946E-5,4.979054879657538E-6,2.2570669293338713E-5,2.5363136139134386E-4,0.0037068273682347667,0.005371449623312665,0.31674200596828883,0.09244624280086892,0.2928631325881744,4.156440243137663,1.2364701172891694,0.09367491154012383
21750,1.326909128610095E-4,1.3192501124579493E-4,1.2988090508213153E-4,1.3021025665143116E-4,1.3828766660957997E-4,1.2869323627692227E-4,9.32421684578989E-5,1.0114709591164377E-4,4.3615486980406414E-5,2.4728069615724655E-6,9.027298726100281E-5,0.0012173980911426424,0.005357408913161482,0.0613896653075606,0.10323339119863076,0.102240682090129,0.04396236768592352,0.33567933431888286,0.006202036287163899
22000,1.888782133696181E-4,1.8855878071570939E-4,1.8718249704633623E-4,1.8811709052558322E-4,2.0281935873066662E-4,2.0976879741696573E-4,1.675224044865755E-4,1.9197203108994995E-4,1.4611974595671746E-4,7.057492216198708E-5,1.3482330317142488E-6,3.059059899745403E-4,0.002720838784532962,0.03584979755222821,0.08962617144616039,0.30688566481185375,0.4124512269890753,0.10026008577146764,0.010442934807311099
