% Model,spaceplate_double_3d_PA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 5 2025, 16:35"
% Table,Table 4 - Surface Average 2
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
12120,0.012070975118309712
12125,0.012012888262757971
12130,0.011955244830781898
12135,0.011898040624187539
12140,0.0118412714937426
12145,0.011784933338501856
12150,0.011729022105141576
12155,0.011673533787313872
12160,0.011618464424990123
12165,0.011563810103843641
12170,0.011509566954616452
12175,0.011455731152509625
12180,0.01140229891657962
12185,0.011349266509144966
12190,0.01129663023519935
12195,0.011244386441837742
12200,0.011192531517689126
12205,0.011141061892356615
12210,0.01108997403587319
12215,0.01103926445815309
12220,0.010988929708465017
12225,0.010938966374906127
12230,0.010889371083886506
12235,0.010840140499615921
12240,0.01079127132360812
12245,0.010742760294188532
12250,0.010694604186002958
12255,0.010646799809543693
12260,0.010599344010676814
12265,0.010552233670178844
12270,0.010505465703280389
12275,0.010459037059215148
12280,0.010412944720775233
12285,0.010367185703877617
12290,0.010321757057133651
12295,0.010276655861420654
12300,0.010231879229471342
12305,0.010187424305457441
12310,0.01014328826459022
12315,0.010099468312713264
12320,0.010055961685917025
12325,0.010012765650149455
12330,0.0099698775008295
12335,0.009927294562478484
12340,0.009885014188344221
12345,0.009843033760043394
12350,0.00980135068718524
12355,0.009759962407041337
12360,0.009718866384175599
12365,0.009678060110110565
12370,0.009637541102983371
12375,0.009597306907217178
12380,0.009557355093186008
12385,0.009517683256892449
12390,0.00947828901964825
12395,0.009439170027759153
12400,0.00940032395221087
12405,0.009361748488369235
12410,0.009323441355669903
12415,0.009285400297327098
12420,0.009247623080037024
12425,0.009210107493691297
12430,0.0091728513510892
12435,0.009135852487656127
12440,0.009099108761171702
12445,0.009062618051488376
12450,0.009026378260271235
12455,0.008990387310724181
12460,0.008954643147332906
12465,0.008919143735607189
12470,0.008883887061823782
12475,0.008848871132774947
12480,0.00881409397552872
12485,0.008779553637169748
12490,0.008745248184577049
12495,0.008711175704177175
12500,0.00867733430169517
12505,0.008643722101959106
12510,0.008610337248649538
12515,0.008577177904070856
12520,0.008544242248944034
12525,0.00851152848217785
12530,0.008479034820659589
12535,0.008446759499042661
12540,0.008414700769534973
12545,0.008382856901692569
12550,0.008351226182215909
12555,0.008319806914751893
12560,0.008288597419691722
12565,0.00825759603397624
12570,0.008226801110904909
12575,0.008196211019945866
12580,0.008165824146541099
12585,0.008135638891937663
12590,0.00810565367298507
12595,0.008075866921965708
12600,0.008046277086422932
12605,0.008016882628970226
12610,0.007987682027129801
12615,0.007958673773158701
12620,0.007929856373879635
12625,0.007901228350516378
12630,0.007872788238526779
12635,0.00784453458744631
12640,0.007816465960719101
12645,0.007788580935552744
12650,0.007760878102749516
12655,0.007733356066564976
12660,0.007706013444548536
12665,0.007678848867396122
12670,0.007651860978805144
12675,0.007625048435323562
12680,0.007598409906212632
12685,0.007571944073301
12690,0.007545649630848333
12695,0.00751952528539267
12700,0.007493569755644315
12705,0.007467781772320038
12710,0.007442160078035299
12715,0.00741670342712897
12720,0.007391410585623002
12725,0.0073662803309846574
12730,0.007341311452073766
12735,0.007316502749003211
12740,0.007291853033001576
12745,0.007267361126304815
12750,0.007243025862033805
12755,0.007218846084072845
12760,0.00719482064695459
12765,0.007170948415747247
12770,0.007147228265938259
12775,0.0071236590833214375
12780,0.007100239763889798
12785,0.007076969213719045
12790,0.007053846348867891
12795,0.00703087009526531
12800,0.007008039388608108
12805,0.006985353174252195
12810,0.006962810407121257
12815,0.006940410051587389
12820,0.006918151081388526
12825,0.006896032479517887
12830,0.0068740532381299695
12835,0.006852212358448219
12840,0.006830508850657953
12845,0.006808941733827579
12850,0.006787510035813782
12855,0.006766212793122169
12860,0.006745049050950162
12865,0.006724017862897401
12870,0.006703118291058455
12875,0.006682349405822866
12880,0.006661710285851505
12885,0.006641200017960438
12890,0.006620817697056269
12895,0.006600562426014992
12900,0.0065804333156467025
12905,0.006560429484591949
12910,0.006540550059238126
12915,0.006520794173647601
12920,0.006501160969480854
12925,0.006481649595910236
12930,0.006462259209553976
12935,0.0064429889743742065
12940,0.006423838061697993
12945,0.0064048056499712595
12950,0.006385890924831461
12955,0.006367093079003806
12960,0.006348411312194875
12965,0.0063298448310533705
12970,0.0063113928490854945
12975,0.006293054586578306
12980,0.006274829270584054
12985,0.006256716134774056
12990,0.006238714419438203
12995,0.006220823371372934
13000,0.006203042243896353
13005,0.006185370296635257
13010,0.0061678067956108095
13015,0.00615035101315738
13020,0.006133002227778018
13025,0.00611575972399672
13030,0.00609862279272174
13035,0.00608159073067144
13040,0.0060646628406127966
13045,0.006047838431221229
13050,0.00603111681703668
13055,0.006014497318399729
13060,0.005997979261393959
13065,0.005981561977803067
13070,0.005965244805044077
